일자|시간|구분,공급량
2019-01-01 01 A,2356.569091796875
2019-01-01 02 A,2128.0966796875
2019-01-01 03 A,1998.041015625
2019-01-01 04 A,2005.6630859375
2019-01-01 05 A,2155.4091796875
2019-01-01 06 A,2407.421142578125
2019-01-01 07 A,2670.47998046875
2019-01-01 08 A,2848.18798828125
2019-01-01 09 A,2897.564697265625
2019-01-01 10 A,2835.670166015625
2019-01-01 11 A,2701.511962890625
2019-01-01 12 A,2534.690673828125
2019-01-01 13 A,2393.85400390625
2019-01-01 14 A,2300.954345703125
2019-01-01 15 A,2267.890869140625
2019-01-01 16 A,2318.0537109375
2019-01-01 17 A,2450.501953125
2019-01-01 18 A,2620.597900390625
2019-01-01 19 A,2757.119873046875
2019-01-01 20 A,2789.1591796875
2019-01-01 21 A,2699.40380859375
2019-01-01 22 A,2532.412109375
2019-01-01 23 A,2363.808349609375
2019-01-01 24 A,2204.805908203125
2019-01-02 01 A,2060.684814453125
2019-01-02 02 A,1957.366943359375
2019-01-02 03 A,1926.9281005859375
2019-01-02 04 A,1995.807861328125
2019-01-02 05 A,2163.8798828125
2019-01-02 06 A,2387.00244140625
2019-01-02 07 A,2584.86328125
2019-01-02 08 A,2676.694091796875
2019-01-02 09 A,2637.6845703125
2019-01-02 10 A,2506.391357421875
2019-01-02 11 A,2341.3408203125
2019-01-02 12 A,2182.7626953125
2019-01-02 13 A,2070.458984375
2019-01-02 14 A,2029.1981201171875
2019-01-02 15 A,2077.741943359375
2019-01-02 16 A,2211.017822265625
2019-01-02 17 A,2393.13232421875
2019-01-02 18 A,2559.325927734375
2019-01-02 19 A,2640.29345703125
2019-01-02 20 A,2602.830810546875
2019-01-02 21 A,2460.463623046875
2019-01-02 22 A,2270.7568359375
2019-01-02 23 A,2085.33740234375
2019-01-02 24 A,1939.03125
2019-01-03 01 A,1855.4044189453125
2019-01-03 02 A,1849.349365234375
2019-01-03 03 A,1924.265380859375
2019-01-03 04 A,2066.4208984375
2019-01-03 05 A,2246.2587890625
2019-01-03 06 A,2410.30810546875
2019-01-03 07 A,2501.87255859375
2019-01-03 08 A,2493.75341796875
