일자|시간|구분,공급량
2019-01-01 01 A,2106.0446805956685
2019-01-01 02 A,1988.911244514979
2019-01-01 03 A,1892.3592963381725
2019-01-01 04 A,1866.7757680864102
2019-01-01 05 A,1951.2208082287116
2019-01-01 06 A,2134.772014105184
2019-01-01 07 A,2352.657307969125
2019-01-01 08 A,2524.5239325125285
2019-01-01 09 A,2603.7989746670337
2019-01-01 10 A,2597.516844853889
2019-01-01 11 A,2544.171319745835
2019-01-01 12 A,2475.373109904647
2019-01-01 13 A,2398.5074105666354
2019-01-01 14 A,2312.4771687723514
2019-01-01 15 A,2233.422572433701
2019-01-01 16 A,2197.6832332118584
2019-01-01 17 A,2234.371388483468
2019-01-01 18 A,2333.590098796319
2019-01-01 19 A,2443.7751192766054
2019-01-01 20 A,2504.675925435012
2019-01-01 21 A,2487.8614915662565
2019-01-01 22 A,2409.113578296726
2019-01-01 23 A,2304.4017126912063
2019-01-01 24 A,2196.098380955217
2019-01-02 01 A,2083.7485113493703
2019-01-02 02 A,1966.5423108794946
2019-01-02 03 A,1870.2934431855638
2019-01-02 04 A,1845.3536409855722
2019-01-02 05 A,1930.745885980592
2019-01-02 06 A,2115.509198393123
2019-01-02 07 A,2334.832070799973
2019-01-02 08 A,2508.322014811835
2019-01-02 09 A,2589.3666222674647
2019-01-02 10 A,2584.96156127417
2019-01-02 11 A,2533.563108661245
2019-01-02 12 A,2466.7461741551756
2019-01-02 13 A,2391.862269092173
2019-01-02 14 A,2307.783147817552
2019-01-02 15 A,2230.620623144194
2019-01-02 16 A,2196.6890242110167
2019-01-02 17 A,2235.078618985903
2019-01-02 18 A,2335.873975953
2019-01-02 19 A,2447.49594200009
2019-01-02 20 A,2509.6827165291206
2019-01-02 21 A,2493.9956204057717
2019-01-02 22 A,2416.2123172301635
2019-01-02 23 A,2312.3016724455483
2019-01-02 24 A,2204.6387728976893
2019-01-03 01 A,2092.774187719562
2019-01-03 02 A,1975.9065383514412
2019-01-03 03 A,1879.8603695390293
2019-01-03 04 A,1855.000419872918
2019-01-03 05 A,1940.364430476506
2019-01-03 06 A,2125.0075398948284
2019-01-03 07 A,2344.135306256052
2019-01-03 08 A,2517.372831702587
2019-01-03 09 A,2598.125397444649
2019-01-03 10 A,2593.4060364229217
2019-01-03 11 A,2541.6876517849887
2019-01-03 12 A,2474.5606429467084
2019-01-03 13 A,2399.390498279163
2019-01-03 14 A,2315.061088497434
2019-01-03 15 A,2237.6941676165034
2019-01-03 16 A,2203.611554849018
2019-01-03 17 A,2241.9083241551853
2019-01-03 18 A,2342.6709798664824
2019-01-03 19 A,2454.3192985900887
2019-01-03 20 A,2516.5873198999434
2019-01-03 21 A,2501.0290861833228
2019-01-03 22 A,2423.411890086541
2019-01-03 23 A,2319.6912152723207
2019-01-03 24 A,2212.2258924313946
2019-01-04 01 A,2100.547550172212
2019-01-04 02 A,1983.833426191124
2019-01-04 03 A,1887.884527844991
2019-01-04 04 A,1863.0402370039942
2019-01-04 05 A,1948.3114934128332
2019-01-04 06 A,2132.7255998235923
